Account,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
CBS News,Missing dog found clinging to pipe above 8-foot pit of water in New Jersey https://t.co/89jTmUFSbe https://t.co/C5zQh5ldVH,Thu Oct 04 23:54:54 +0000 2018,-0.296,0.0,0.128,0.872,14
CBS News,"HAPPENING NOW: Pres. Trump rallies supporters in Minnesota, as senators in Washington edge closer to confirming his… https://t.co/BYI5dF6GMe",Thu Oct 04 23:40:30 +0000 2018,0.4404,0.146,0.0,0.854,15
CBS News,Writer insists bizarre EgyptAir interview with Drew Barrymore is real https://t.co/th9aM1HiJe https://t.co/87cJnzbWnP,Thu Oct 04 23:34:40 +0000 2018,-0.3182,0.0,0.173,0.827,16
CBS News,RESCUING ROSCO: A family thought their little dog was lost forever – then workers at a nearby water plant heard bar… https://t.co/QDwYHdtMdO,Thu Oct 04 23:15:23 +0000 2018,-0.2585,0.0,0.102,0.898,17
CBS News,Four years ago a dachshund developed a small bump on her head. Then it grew and grew into a life-threatening tumor.… https://t.co/6X4VCjwN3M,Thu Oct 04 23:11:33 +0000 2018,0.0,0.0,0.0,1.0,18
CBS News,"RT @CBSEveningNews: In the midst of rubble and destruction, a glimmer of hope. 

Swept away from her family as an earthquake and tsunami, w…",Thu Oct 04 22:59:24 +0000 2018,-0.2023,0.105,0.134,0.761,19
CBS News,"RT @CBSEveningNews: Cristiano Ronaldo, one of the world’s biggest soccers stars, was benched by the Portuguese national team as a woman all…",Thu Oct 04 22:58:50 +0000 2018,0.0,0.0,0.0,1.0,20
CBS News,Suspect in deadly South Carolina police ambush identified as elderly vet https://t.co/6awbOcZOrq https://t.co/PNUtOzDumw,Fri Oct 05 03:33:03 +0000 2018,-0.296,0.0,0.155,0.845,21
CBS News,"Sen. Heidi Heitkamp, who will vote no on Kavanaugh, raises significant funds in 3rd quarter https://t.co/Rv14bGHRzF https://t.co/1wcqXx0mvs",Fri Oct 05 03:18:03 +0000 2018,-0.1027,0.095,0.116,0.789,22
CBS News,Democratic senators request intel chief provide more information on Trump's claim about Chinese hacking… https://t.co/5m6t1TDqSr,Fri Oct 05 03:10:05 +0000 2018,0.0,0.0,0.0,1.0,23
CBS News,Stock prices tumble as interest rate fears grip Wall Street https://t.co/Q8QEfb8iLN https://t.co/NNh4gElGur,Fri Oct 05 03:03:03 +0000 2018,0.0516,0.19,0.177,0.633,24
CBS News,"Republicans still plan to begin voting on Supreme Court nominee Brett Kavanaugh on the Senate floor Friday, with fi… https://t.co/TfOTSpsOlq",Fri Oct 05 03:00:01 +0000 2018,0.5574,0.159,0.0,0.841,25
CBS News,Dog with 3D-printed skull gives researchers hope for helping human patients https://t.co/6cQwmQ2Jtx https://t.co/0WfsX7RHNF,Fri Oct 05 02:39:54 +0000 2018,0.6249,0.317,0.0,0.683,26
CBS News,"Trump blasts Democrats for ""rage-fueled resistance"" to Kavanaugh nomination https://t.co/jKDB9T08KE https://t.co/XCsfWgoAee",Fri Oct 05 02:14:35 +0000 2018,0.0,0.0,0.0,1.0,27
CBS News,"🇺🇸 👋 So long, Cap: Chris Evans appears to bid farewell to Captain America https://t.co/5s0yvmzFGD https://t.co/0wpmIMMgyZ",Fri Oct 05 01:58:28 +0000 2018,0.7184,0.273,0.0,0.727,28
CBS News,"WATCH: Singer Janis Joplin died 48 years ago today at the age of 27. Her soulful music has endured for generations,… https://t.co/uIX8R7dGq1",Fri Oct 05 01:35:28 +0000 2018,-0.5574,0.0,0.146,0.854,29
